time,num_entities,avg_entities
1.78166,39.982630,36.650000
2.78118,110.181980,104.300000
3.781459,162.420823,161.950000
4.781679,194.085221,194.000000
5.781582,236.664335,236.000000
6.78214,297.989984,295.700000
7.782476,374.283741,372.250000
8.78284,446.836121,446.900000
9.782904,538.632687,535.050000
10.78397,648.029978,645.750000
11.775681,774.952161,753.900000
12.785331,788.332159,792.800000
13.785622,778.894806,786.000000
14.786329,782.848091,789.000000
15.786891,783.576109,794.000000
16.786777,786.135551,792.300000
17.787277,787.813476,793.750000
18.787945,784.823418,790.450000
19.788138,787.209125,791.700000
20.788797,792.104693,796.000000
21.78914,798.861500,806.600000
22.789486,797.912956,802.300000
23.790217,798.910390,802.500000
24.790808,799.955700,803.000000
25.791567,801.303090,808.000000
26.79186,799.850526,802.100000
27.792198,801.180491,802.700000
28.793505,803.711415,804.350000
29.793766,803.009672,804.050000
30.794177,803.330169,804.000000
31.793719,806.298281,811.250000
32.794149,804.298857,804.950000
33.795635,808.513832,807.500000
34.796201,808.258849,807.700000
35.797344,809.242274,807.650000
36.797047,810.021512,808.200000
37.797075,812.410518,810.350000
38.798068,814.176446,812.450000
39.797709,815.674325,813.650000
40.798672,819.543710,817.000000
41.799599,825.269997,821.800000
42.800251,827.255991,823.800000
43.801726,821.347600,817.000000
44.801521,821.363672,816.800000
45.801435,826.065988,817.000000
46.801977,826.628360,823.000000
47.802231,823.883719,822.300000
48.803535,825.447361,819.350000
49.804018,826.296383,818.900000
50.803517,826.115289,820.000000
51.805162,821.823401,814.750000
52.804475,821.712776,814.350000
53.80495,823.497355,815.500000
54.805724,824.567931,817.550000
55.806007,824.663052,816.300000
56.80701,829.420170,820.000000
57.806007,832.207112,824.750000
58.806867,824.914725,816.000000
59.80702,829.617957,821.900000
60.809156,828.378880,819.350000
61.810538,830.118452,819.300000
62.809755,828.179988,818.550000
63.810156,828.061953,822.000000
64.810919,830.883071,814.950000
65.810974,829.768059,819.350000
66.811212,834.730768,819.400000
67.812291,841.363491,836.200000
68.812621,834.674452,823.550000
69.812628,853.473072,846.000000
70.812669,925.573198,892.000000
71.81038,922.507631,890.000000
72.814643,859.264114,863.650000
73.816461,838.390802,830.000000
74.816892,841.963290,823.500000
75.816071,843.399823,828.650000
76.818546,862.335283,851.350000
77.8048,928.865066,879.550000
78.817992,927.771221,897.200000
79.817215,848.197714,835.000000
80.819491,861.369570,855.000000
81.820078,853.810663,843.550000
82.820372,848.723739,833.950000
83.821054,922.252368,872.500000
84.820677,868.546333,871.050000
85.821321,857.120897,855.000000
86.820964,863.703610,859.000000
87.821679,924.077923,874.000000
88.822204,867.704036,870.000000
89.824745,931.222663,877.200000
90.823646,931.801202,884.600000
91.824519,930.982747,882.700000
92.823702,931.622543,883.000000
93.82589,932.056154,881.150000
94.826036,932.800456,888.100000
95.826761,930.376784,879.300000
96.827078,933.748575,886.750000
97.827574,933.570023,880.550000
98.827618,935.829845,883.600000
99.827855,938.595421,890.250000
100.829364,941.337929,887.350000
101.814445,941.621826,893.650000
102.828607,943.277473,899.000000
103.830043,940.502973,886.350000
104.829909,939.690822,890.000000
105.830685,938.972244,888.900000
106.830433,935.311201,880.900000
107.831136,935.778907,889.000000
108.831591,932.080823,881.000000
109.833698,934.341455,884.500000
110.833843,933.510825,884.850000
111.835442,942.680099,895.450000
112.829808,938.269514,899.550000
113.83435,938.706589,894.200000
114.832738,936.608659,888.000000
115.833472,936.132061,891.000000
116.825658,942.040650,890.050000
117.834735,936.710547,886.800000
118.814236,935.473887,891.850000
119.82028,938.693437,887.100000
120.82203,938.914865,883.600000
121.818933,936.992340,888.000000
122.818026,935.283480,883.700000
123.818278,935.937779,879.900000
124.822919,936.169917,890.000000
125.821343,938.184986,908.000000
126.81913,940.624479,908.000000
127.817445,937.828882,893.000000
128.818866,934.714353,879.000000
129.829763,943.616476,891.000000
130.847747,1061.000000,985.350000
131.82273,1137.101587,1071.450000
132.834252,1048.691901,1026.300000
133.820648,1045.995437,994.000000
134.819478,963.422405,964.350000
135.821114,939.357309,886.150000
136.82109,937.547016,880.250000
137.821674,940.828072,883.150000
138.827351,948.755097,894.000000
139.823876,954.365251,926.850000
140.824458,956.261064,926.950000
141.831416,954.697512,916.000000
142.830677,959.089136,941.800000
143.824049,956.656936,951.600000
144.841748,1049.781116,967.250000
145.824426,1040.983677,980.000000
146.837043,965.430738,971.550000
147.837907,955.179579,951.150000
148.829202,953.543874,936.550000
149.836358,953.190777,930.350000
150.827832,951.361799,938.150000
151.829863,949.346864,928.250000
152.830851,951.517030,922.150000
153.826549,954.221141,947.950000
154.831471,958.933816,958.350000
155.833419,955.836095,948.000000
156.829023,955.414391,938.450000
157.832156,958.993004,935.700000
158.831622,961.961666,950.000000
159.832135,963.685306,956.000000
160.828661,953.637512,929.950000
161.831193,955.516983,928.050000
162.833652,954.432254,931.650000
163.832673,954.376717,927.000000
164.830763,955.096844,927.000000
165.834877,954.130787,930.650000
166.833452,953.594017,930.950000
167.842105,952.420431,937.800000
168.833818,957.015700,952.600000
169.835686,956.030913,956.400000
170.832337,954.257587,944.000000
171.832058,950.625253,935.000000
172.83125,947.472671,933.750000
173.836436,952.789937,927.800000
174.837262,961.029938,952.550000
175.839566,965.596155,968.450000
176.840767,1058.654285,975.550000
177.836802,1053.832226,974.300000
178.83744,962.143014,959.300000
179.851214,962.000000,942.600000
180.847415,1059.826156,1021.050000
181.839114,1153.080175,1072.300000
182.84303,1057.729919,1027.400000
183.849158,1058.136785,1027.600000
184.849501,1056.400657,1038.250000
185.851254,1147.751195,1064.600000
186.838867,1143.699669,1064.450000
187.839747,1050.672022,1011.000000
188.839183,956.299728,953.000000
189.854668,1055.019294,982.150000
190.849277,1154.438099,1062.450000
191.835768,1241.022509,1165.000000
192.853597,1259.000000,1154.950000
193.844662,1160.943058,1155.250000
194.840792,1157.311578,1116.450000
195.846564,1065.000000,1064.250000
196.842274,1063.000000,1063.000000
197.841928,1060.690787,1024.450000
198.844516,961.835443,967.050000
199.842946,1059.268945,974.050000
200.847128,1059.926235,979.300000
201.850954,1058.283213,985.000000
202.841872,1059.626049,996.100000
203.844058,1063.029632,982.300000
204.845359,964.966146,964.000000
205.850175,1060.834635,979.000000
206.85033,1064.027430,1010.900000
207.851169,1064.455535,1016.550000
208.846591,1061.012546,1003.800000
209.849573,1060.495512,1015.000000
210.848134,1061.350515,1013.500000
211.845209,1061.432974,1019.350000
212.849581,1063.326869,1015.450000
213.848657,1062.816849,1027.200000
214.846487,1065.397620,1023.000000
215.84639,1063.571886,1032.850000
216.848392,1064.849120,1027.200000
217.848545,1063.486688,1009.500000
218.859948,1066.000000,1019.250000
219.85021,1066.575220,1057.000000
220.859072,1166.000000,1066.000000
221.843665,1165.610720,1072.700000
222.853495,1162.557613,1085.000000
223.853469,1066.377600,1051.850000
224.858165,1065.927212,1007.700000
225.853256,1068.000000,1012.800000
226.854901,1068.000000,1022.350000
227.859676,1067.000000,1028.000000
228.853907,1066.000000,1025.450000
229.853026,1166.000000,1066.000000
230.855999,1167.000000,1102.000000
231.86226,1170.000000,1108.750000
232.857373,1070.000000,1040.400000
233.854088,1064.570597,1045.300000
234.855236,1066.000000,1036.550000
235.853188,1064.000000,1024.000000
236.854619,1066.000000,1030.350000
237.858869,1063.000000,1043.800000
238.858137,1161.000000,1071.600000
239.856855,1162.000000,1077.300000
240.856127,1063.000000,1068.450000
241.861557,1062.000000,1048.450000
242.856791,1063.000000,1046.950000
243.855394,1064.000000,1063.100000
244.859074,1063.000000,1068.300000
245.861348,1161.000000,1071.550000
246.864031,1159.000000,1070.250000
